video_id,date,likes,sound,suggested_bucket,suggested_theme,bucket_id,theme_day,notes,cover_url
SZ-0001,2020-10-18 04:28:36,342,feeling - Official Sound Studio,F,confidence,F,confidence,,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/bfa9503f231a43468c1bc10c6541a8cc_1602995318~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=p3mTzkNzZyjRfHyfOEvo1TCr8%2BM%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0002,2020-10-23 01:54:08,114,"Best Friend (feat. NERVO, The Knocks & ALISA UENO) - SOFI TUKKER",F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/11c316811239411aaac9030ea1d4b5d0_1603418050~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=%2BrU%2BM7kI%2FmwWabrqyOQN6viXbwk%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0003,2020-11-22 03:16:32,108,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/956acb952b844d05ab74806a72e8b764_1606014993~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=rcgc6uk8JFryr%2F0h2wEpl5CycXs%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0004,2020-11-22 04:34:38,42,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/7e7ff4cd722e43eabf636d9368b96662_1606019680~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=6G7E24TOivuligkrAgX5c2%2BZNlM%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0005,2020-11-22 18:48:21,34,Shiny Disco Balls - Who Da Funk,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/4f83f5384bc14d65b2e8800aeaa8daa2_1606070903~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=ztBKX0SaA1OTL5eynkovfpjDKuk%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0006,2020-12-01 10:17:07,61,original sound - lisajean1212,F,confidence,F,confidence,,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/91ceeb3541d44dbb840aedae597aaed5_1606817828~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=sxATt%2Fyymj%2Bvh%2FtyLKOI404%2B1%2BA%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0007,2020-12-05 19:18:10,74,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/d61673f4a08b4e6687e32c67aec89230_1607195892~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=NiBCpDrTvvVEdgH12UbyC2P%2BKSs%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0008,2020-12-11 09:38:15,65,Sexy And I Know It - LMFAO,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/1b85c9fac1e243b184ecd688912e7355_1607679496~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=JjcQL67z64xpWYDuFX3XMSJxxhk%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0009,2020-12-13 04:36:47,71,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/96f668bb9eb94c79b85bf3b95b618b99_1607834209~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=j%2BMJYpET7DF3L%2BHJh6lrGcUPlk8%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0010,2020-12-18 03:14:18,47,N/A,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/bd9643f618144adab9ed363d2063fbdd_1608261267~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=HY2XkPFAHBF47%2FYDvZIcdoC2Gos%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0011,2020-12-19 00:49:05,122,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/65d9b59009e041589c1b89b95f8c6e11_1608338947~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=%2FkQ%2FT%2F0DZQQ0b2nUrttXQKQ5in4%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0012,2020-12-21 05:43:35,265,Look At Me Now - Chris Brown;Lil Wayne;Busta Rhymes,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/0f4fc1cecc554317a957bcb869530355_1608529417~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=a%2FwxNBJtPLDKb2hgYfmc6pVzUJg%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0013,2020-12-22 22:46:21,164,Oh Yeah  - Ferris Bueller,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/b7e2e845971640cf9a0e450a3be51d9e_1608677183~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=DaXVbs1M9HeK8SYY8sNeZjwM%2Fr4%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0014,2020-12-23 23:44:49,51,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/d7635b08e1b54a8d925c191b07d0828f_1608767090~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=6zy6fkm03a3Hsf86o%2Bra1eObh0s%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0015,2020-12-26 23:46:05,165,busy doin hot girl ish - makeupbychelseax,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/ad447bc8a32f4cfc8c3e5e3f3a6c2ba3_1609026366~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=FyW4UrnE%2Fxgb61GQ1K3EDX5LVUc%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0016,2021-01-03 07:42:44,182,Back To Black - Amy Winehouse,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/1cca8414faa94a6482fecf73c0579d12_1609659765~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=7HxrNdTVZG5UiQQWXGhsZFsU2xQ%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0017,2021-01-04 02:26:22,301,Countdown - Official Sound Studio,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/7edf4ff2294f49c78eec29498a7a453d_1609727184~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=2psJspZZCgl0ndv8FNiSymWWB8c%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0018,2021-01-05 21:37:53,167,merr shikime - cute.videoss1,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/f8c03cf9fe6549e28c771fc52dc3ec3a_1609882675~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=wP5X11WeAfwVYsIsY3DkJgOIa80%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0019,2021-01-08 20:09:59,200,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/5980607772bf40d691c04f8250b5738f_1610136601~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=kPoHjxY722pLoVUT%2FZz%2FY%2FEHRyU%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0020,2021-01-10 22:02:39,90,Pump Up The Jam - The Hit Crew,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/2f0b1c7ec136424598ed28c68fbfa585_1610316163~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=%2F%2BDqhEXc841AoInC3OHuo2ngBes%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0021,2021-01-13 16:11:49,309,I Am (feat. Flo Milli) - Baby Tate,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/31dfe3be91934fc9b1c8548bcda4ac68_1610554311~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=GAKpvpCdpz7dw1%2BjrVP4b%2Fnc%2FJw%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0022,2021-01-16 02:52:14,157,Why are u people using this - the.flower.man,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/ce2245cacf3a4334a1041994ad88994c_1610765535~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=8V5L3wHamc03vSOseMQUVsGzvHM%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0023,2021-01-19 21:01:27,227,Blade Runner 2049 - Synthwave Goose,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/c66e8f08664e4f62a04d0304a8b8ba0c_1611090090~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=o3b6qe1ymQL9lsKsvsYqmVFsJi4%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0024,2021-01-22 18:47:36,249,bad guy - Billie Eilish,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/499ddc4f77e84ec7888b39d090c82810_1611341259~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=eCQ47U%2F9KJf5rO5cTeUWas4wm9s%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0025,2021-01-24 18:17:10,412,Anaconda - Remix - Colass,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/86514a6e86c9465ebcb88c8a06417ee4_1611512232~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=JH6k06b8520LAvWQlhIFus%2FUv3E%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0026,2021-01-25 05:33:15,375,ily (i love you baby) - Surf Mesa,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/7c34df35362a4f94bde5c6ba047459b7_1611552796~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=uFSbluclJ0y5c4zhk5h6dwz%2B0BU%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0027,2021-01-25 18:54:29,456,N/A,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/0bbd4f0b52bb42f0b9124076092d424d_1709297711~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=Y22z3iO7U3UTKC1v7XU0AcXo%2FD0%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0028,2021-01-26 22:30:18,128,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/e1cf300d09b34526a235aec0456273a8_1611700220~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=t%2BzrSq3WTBF8VYBuUgb6sNRoDqo%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0029,2021-01-29 00:16:01,294,Mission Impossible (Main Theme) - Favorite Movie Songs,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/15be3295b44946da9ca33d5adfc21709_1611879364~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=qCkkV1%2FpqIHBAaykqJuqfwUeiTQ%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0030,2021-01-30 20:41:49,545,Buss It - Erica Banks,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/864c2fbe8e284ecfad5546210adb13f6_1612039697~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=bsJ1RTpPwEIehulgb4f5tSUNq%2Fk%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0031,2021-02-01 04:12:26,86,.....Wiii - x...jesus,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/16ab91ef4f944564baeb2f2c15d6215e_1612152747~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=wLVLAMm44hoYcAyvuLkdVE56Gek%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0032,2021-02-01 07:25:00,222,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/be3611e1647549a38550df07e1b9b806_1612164302~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=kBRRBJqmTr82ddNuOLEsjPE0eek%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0033,2021-02-01 18:41:53,841,Put Your Head On My Shoulder - giuliadinicolantonio,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/3fad1651dec04c34bdd36c7fe93d0814_1612204918~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=TBbdc6NpoQIADBZ2VVG35zFaKIs%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0034,2021-02-02 17:44:52,103,Fire  - Official Sound Studio,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/edbab95e206c4bc0a4daf2eeeebb1e20_1612287895~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=YWI9NAGKPv3JNzyXoMFDQnZXIfY%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0035,2021-02-04 21:00:05,213,BORED IN THE HOUSE - Curtis Roach,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/286772ff335c4a29b3459470a681d8c7_1612472408~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=DY7sJtOr%2FNPxEZ%2Fu5SP2%2Bl8fhNg%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0036,2021-02-05 06:47:41,1800,Vivi Trend x No hands DJ Yames - dj_yames,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/4ad6c2731cab42a2b47b7e497a38f56f_1612507662~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=SJhdVvPm2wzvWFzHy0VggUU9DEE%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0037,2021-02-05 19:11:05,692,Follow me - official.shawn00,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/960ff0b3d3fe48e1bf2c7450b721e84f_1612552267~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=X79dO63%2BAoq1gTD%2FP3q2y0nINXk%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0038,2021-02-10 00:17:02,225,Lemon - N.E.R.D & Rihanna,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/8df6c024223f4c15ae882ceb2563e2dd_1612916226~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=0ffyVN45T2BKQAy1CDHAdOE4Ep8%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0039,2021-02-11 00:57:26,870,WowWoah - joconnor234,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/a62d5ebc2cc247a6843ebddc69edb6c3_1613005048~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=dKoVHbB9sTjdwuveDkB22NDNj5A%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0040,2021-02-11 04:22:59,472,original sound - smooth_baby,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/7a0e6ae786da41c191464bf17a69c392_1613017381~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=Xj4ocEJfcKpG%2B%2BVvwnjB5SJUHLs%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0041,2021-02-11 06:16:03,2023,STP DROP X VEM X VVA VRUMM - JC_CHALLENGE_PH🇵🇭🎧,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/a03e8ff9f11f46608981ac3c12c06b40_1613024165~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=%2BdO6eGPW97qnCg9or0diuNZAYKE%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0042,2021-02-12 04:12:19,279,original sound - switchdisco,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/8d47cc93dcda40abbe09d4427f779bc5_1613103142~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=kSRteOirHDFGZ1c87H91HBhjPug%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0043,2021-02-13 21:23:46,258,In The Dark (Radio Edit) - Dancing & Dancing,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/779b4806c591425397ebd23b69d2726e_1613251428~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=5X1r%2BSspVrLin4em1SrEbonPnRM%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0044,2021-02-14 01:58:38,52445,Ice Ice Baby - Vanilla Ice,H,viral,H,viral,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/78fa9fc48c604324904ec3d579b8d21c_1613267920~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=UFptNOuz2HW1b%2B0f3EQPCbY5%2BS0%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0045,2021-02-14 04:52:21,214,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/c7afdcf999fb4a999042ef07b132edd0_1613278343~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=dx%2FJ73Y8YihbA4nnHUu5v%2BUvvRc%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0046,2021-02-15 05:09:49,413,Crank that x Poke it out DJ Yames - dj_yames,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/99900edb20424c43a1eab2a1113ee84c_1613365791~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=%2FP7wx2bst4MzIrKIFMKjc7q%2B1CU%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0047,2021-02-16 02:11:40,1064,SexyBack (feat. Timbaland) - Justin Timberlake,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/4cc4d24a75b5495db12c5934aa8bce0c_1613441503~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=WAsTCGWkmhqRoKvyKEyjgn33%2FnI%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0048,2021-02-16 03:34:30,25930,Ice Ice Baby (as heard in the movie Step Brothers) - Re-Recorded - Vanilla Ice,H,viral,H,viral,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/f4a5fcb80e5a47dfa4277add5360806c_1613446473~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=YNPX5DNlXl10xAISi4lk51Djq%2Fo%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0049,2021-02-17 08:02:34,193,Hungry Eyes - The Memory Lane,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/23c492da25824a67948e88aeef44dc4f_1703177549~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=Jfju4PDyRIIm8nQIzdu51JJkM6I%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0050,2021-02-18 13:04:35,24535,original sound - georgia_pugh,H,viral,H,viral,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/119a53409fbc41c2a0002d147408aa2a_1613653480~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=fxNA5JGhbzKphZwMI6yUSSMy06c%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0051,2021-02-20 02:37:27,545,Follow me - official.shawn00,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/730c9fbf385047b28714ec5a0116cb4b_1613788650~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=qFBBI3wOEVnrgUZ7KkeZC84TV%2Fg%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0052,2021-02-21 11:01:55,6286,original sound - johnnysibilly01,H,viral,H,viral,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/cc545b585011488f9f2acd2a8538ded5_1613905317~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=S6u9JjE9geIWYxyxo9PoZ05AtGc%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0053,2021-02-22 02:05:40,752,original sound - thereversebarbie,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/5d4d61eb04a14a7c9b39752f5e0a75db_1613959542~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=bufFyMWSPPMWmC9FFK6m469yWEc%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0054,2021-02-23 01:09:13,264,Home - Edith Whiskers,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/9eaed09ba46243f9a9c15ec2e913240a_1614042556~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=0GNC6oiKMPDZk8mWHs5R94eW5Ow%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0055,2021-02-23 06:02:10,48,N/A,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/761e41efa4414e979ed95fbb635d2a15_1614060131~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=uLhe5fcOR1Y6LDkGx8b%2BCotarJs%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0056,2021-02-24 01:49:02,926,"GRAVITY (FEAT. TYLER, THE CREATOR) - Brent Faiyaz & Dahi",F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/124d0aecb0b747738abbe7933d887500_1614131345~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=DFgjIqu0ZMNOoic4O1mJteAbiC0%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0057,2021-02-25 03:33:40,1142,How You Like That - BLACKPINK,F,confidence,F,confidence,,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/fccd7c79f4a3450c938abb2a55891ed2_1614224021~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=09%2Be7W%2FHactLUz2ObLIMXYGhysY%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
SZ-0058,2021-02-26 08:08:32,306,original sound - lisajean1212,F,confidence,F,confidence,,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/84720c5db4174996a98855bed40ce1d7_1614326913~tplv-tiktokx-origin.image?dr=9627&x-expires=1768518000&x-signature=%2FFwZD4L%2BG5dqyXyItOkdIlvqXAM%3D&t=4d5b0474&ps=13740610&shp=e43adb81&shcp=7996dd0b&idc=useast5
